project_name,domain,difficulty,required_skills,estimated_time,popularity,tags
Chatbot,Web Development,Advanced,"HTML, CSS, Flask",29,7,"blog, platform"
Blog Platform,Web Development,Advanced,"React, Django",40,6,"blog, platform"
Weather App,Data Science,Advanced,"HTML, CSS, Flask",5,2,"weather, app"
Crypto Tracker,Mobile App Development,Beginner,"SQL, PostgreSQL",6,9,"weather, app"
Blog Platform,Data Science,Beginner,"Java, Android Studio",16,2,"crypto, tracker"
Crypto Tracker,Web Development,Advanced,"JavaScript, Node.js, Express",14,7,"e-commerce, web"
Weather App,Cybersecurity,Intermediate,"React, Django",36,10,"weather, app"
Stock Predictor,Cybersecurity,Advanced,"Python, NLP, Flask",39,7,"chatbot, NLP"
Recipe Finder,AI/ML,Advanced,"Python, NLP, Flask",31,7,"chatbot, NLP"
Chatbot,Data Science,Advanced,"TensorFlow, Keras",5,7,"recipe, finder"
Weather App,Cybersecurity,Beginner,"Java, Android Studio",28,3,"e-commerce, web"
Blog Platform,Mobile App Development,Intermediate,"Python, Pandas, NumPy",30,9,"crypto, tracker"
Stock Predictor,Data Science,Beginner,"Java, Android Studio",9,5,"mobile, to-do"
Recipe Finder,Cybersecurity,Beginner,"TensorFlow, Keras",39,8,"crypto, tracker"
Recipe Finder,Mobile App Development,Intermediate,"Java, Android Studio",33,3,"social, media"
Social Media App,Web Development,Intermediate,"TensorFlow, Keras",29,7,"portfolio, web"
Web Portfolio,Web Development,Beginner,"Ruby, Rails",23,10,"portfolio, web"
Weather App,Data Science,Intermediate,"PHP, Laravel",17,9,"recipe, finder"
Blog Platform,Cybersecurity,Beginner,"React, Django",32,8,"recipe, finder"
Chatbot,Mobile App Development,Advanced,"Ruby, Rails",12,2,"recipe, finder"
To-Do App,Web Development,Beginner,"PHP, Laravel",38,9,"e-commerce, web"
Blog Platform,Cybersecurity,Beginner,"HTML, CSS, Flask",19,5,"finance, stock"
Crypto Tracker,Data Science,Intermediate,"JavaScript, Node.js, Express",9,8,"social, media"
Blog Platform,Web Development,Beginner,"JavaScript, Node.js, Express",40,5,"social, media"
Weather App,Mobile App Development,Intermediate,"Ruby, Rails",28,9,"finance, stock"
Web Portfolio,Cybersecurity,Intermediate,"Java, Android Studio",8,9,"chatbot, NLP"
Recipe Finder,Web Development,Beginner,"PHP, Laravel",15,4,"e-commerce, web"
To-Do App,AI/ML,Advanced,"Ruby, Rails",18,4,"chatbot, NLP"
Recipe Finder,Web Development,Intermediate,"SQL, PostgreSQL",38,6,"e-commerce, web"
Social Media App,Cybersecurity,Beginner,"JavaScript, Node.js, Express",38,6,"finance, stock"
Stock Predictor,AI/ML,Advanced,"JavaScript, Node.js, Express",28,4,"chatbot, NLP"
Web Portfolio,Mobile App Development,Beginner,"PHP, Laravel",31,3,"mobile, to-do"
Weather App,AI/ML,Advanced,"Python, Pandas, NumPy",29,4,"blog, platform"
E-commerce Website,AI/ML,Advanced,"PHP, Laravel",5,2,"social, media"
E-commerce Website,Cybersecurity,Intermediate,"SQL, PostgreSQL",22,1,"chatbot, NLP"
To-Do App,Web Development,Advanced,"Java, Android Studio",11,1,"finance, stock"
To-Do App,Data Science,Advanced,"HTML, CSS, Flask",12,10,"crypto, tracker"
Weather App,Cybersecurity,Beginner,"Python, NLP, Flask",6,5,"portfolio, web"
Chatbot,Mobile App Development,Advanced,"Ruby, Rails",11,9,"blog, platform"
Blog Platform,Cybersecurity,Intermediate,"Python, Pandas, NumPy",5,4,"blog, platform"
Chatbot,Cybersecurity,Beginner,"Java, Android Studio",30,10,"e-commerce, web"
Web Portfolio,Web Development,Advanced,"JavaScript, Node.js, Express",10,7,"chatbot, NLP"
Recipe Finder,Web Development,Advanced,"Ruby, Rails",12,4,"crypto, tracker"
To-Do App,Data Science,Beginner,"Python, Pandas, NumPy",26,7,"crypto, tracker"
Recipe Finder,Web Development,Intermediate,"Python, NLP, Flask",25,7,"chatbot, NLP"
Blog Platform,Data Science,Beginner,"Python, NLP, Flask",23,5,"mobile, to-do"
Web Portfolio,AI/ML,Intermediate,"React, Django",25,5,"portfolio, web"
E-commerce Website,Cybersecurity,Intermediate,"Ruby, Rails",21,2,"e-commerce, web"
Weather App,Cybersecurity,Advanced,"SQL, PostgreSQL",35,3,"crypto, tracker"
Weather App,Cybersecurity,Advanced,"TensorFlow, Keras",20,10,"finance, stock"
Crypto Tracker,Mobile App Development,Advanced,"TensorFlow, Keras",10,7,"weather, app"
To-Do App,Data Science,Intermediate,"SQL, PostgreSQL",7,8,"crypto, tracker"
E-commerce Website,Web Development,Advanced,"React, Django",7,7,"chatbot, NLP"
To-Do App,Cybersecurity,Intermediate,"SQL, PostgreSQL",32,4,"e-commerce, web"
Recipe Finder,Data Science,Intermediate,"PHP, Laravel",32,6,"e-commerce, web"
Chatbot,Mobile App Development,Advanced,"PHP, Laravel",29,4,"portfolio, web"
To-Do App,Mobile App Development,Beginner,"Python, Pandas, NumPy",12,2,"finance, stock"
Social Media App,AI/ML,Beginner,"Python, NLP, Flask",40,10,"crypto, tracker"
Chatbot,AI/ML,Intermediate,"Java, Android Studio",36,7,"e-commerce, web"
Stock Predictor,Data Science,Beginner,"SQL, PostgreSQL",10,10,"chatbot, NLP"
Web Portfolio,Web Development,Intermediate,"SQL, PostgreSQL",31,9,"finance, stock"
Crypto Tracker,AI/ML,Advanced,"PHP, Laravel",24,10,"e-commerce, web"
Blog Platform,AI/ML,Intermediate,"JavaScript, Node.js, Express",30,10,"crypto, tracker"
Social Media App,Web Development,Advanced,"PHP, Laravel",16,2,"portfolio, web"
Weather App,AI/ML,Beginner,"SQL, PostgreSQL",35,3,"weather, app"
Stock Predictor,Data Science,Beginner,"Python, Pandas, NumPy",39,2,"e-commerce, web"
E-commerce Website,Data Science,Beginner,"React, Django",6,8,"finance, stock"
Chatbot,Web Development,Intermediate,"Ruby, Rails",38,4,"social, media"
To-Do App,Mobile App Development,Intermediate,"Python, NLP, Flask",23,4,"weather, app"
To-Do App,Mobile App Development,Intermediate,"HTML, CSS, Flask",38,10,"e-commerce, web"
To-Do App,Data Science,Intermediate,"SQL, PostgreSQL",9,6,"chatbot, NLP"
Weather App,AI/ML,Beginner,"TensorFlow, Keras",17,1,"weather, app"
Social Media App,Cybersecurity,Advanced,"Python, Pandas, NumPy",38,5,"weather, app"
Crypto Tracker,AI/ML,Advanced,"Ruby, Rails",36,7,"blog, platform"
Web Portfolio,AI/ML,Intermediate,"React, Django",21,7,"portfolio, web"
Social Media App,Data Science,Intermediate,"Java, Android Studio",15,2,"weather, app"
Weather App,Cybersecurity,Beginner,"React, Django",26,8,"e-commerce, web"
Weather App,AI/ML,Beginner,"PHP, Laravel",28,5,"crypto, tracker"
Social Media App,Data Science,Intermediate,"React, Django",39,8,"portfolio, web"
Blog Platform,Cybersecurity,Advanced,"Ruby, Rails",36,3,"mobile, to-do"
E-commerce Website,Cybersecurity,Beginner,"Java, Android Studio",38,9,"mobile, to-do"
Weather App,AI/ML,Advanced,"Ruby, Rails",13,4,"mobile, to-do"
E-commerce Website,Cybersecurity,Advanced,"PHP, Laravel",17,7,"blog, platform"
To-Do App,Data Science,Beginner,"Python, NLP, Flask",10,2,"mobile, to-do"
Recipe Finder,Data Science,Intermediate,"SQL, PostgreSQL",16,6,"e-commerce, web"
Web Portfolio,Web Development,Advanced,"Python, Pandas, NumPy",25,2,"recipe, finder"
E-commerce Website,Cybersecurity,Beginner,"HTML, CSS, Flask",19,9,"finance, stock"
Stock Predictor,Mobile App Development,Advanced,"JavaScript, Node.js, Express",14,10,"social, media"
Crypto Tracker,Mobile App Development,Beginner,"PHP, Laravel",22,7,"weather, app"
Social Media App,AI/ML,Beginner,"JavaScript, Node.js, Express",15,9,"blog, platform"
Stock Predictor,Mobile App Development,Beginner,"TensorFlow, Keras",27,1,"chatbot, NLP"
Weather App,Data Science,Intermediate,"Python, Pandas, NumPy",9,3,"portfolio, web"
Chatbot,Web Development,Advanced,"SQL, PostgreSQL",35,4,"blog, platform"
Stock Predictor,Data Science,Beginner,"Python, Pandas, NumPy",28,3,"crypto, tracker"
Crypto Tracker,Cybersecurity,Beginner,"React, Django",33,3,"blog, platform"
Web Portfolio,Web Development,Advanced,"React, Django",13,1,"mobile, to-do"
Chatbot,AI/ML,Beginner,"Python, Pandas, NumPy",11,3,"recipe, finder"
Crypto Tracker,AI/ML,Advanced,"React, Django",23,7,"chatbot, NLP"
Crypto Tracker,Mobile App Development,Intermediate,"TensorFlow, Keras",6,6,"finance, stock"
Chatbot,Mobile App Development,Intermediate,"TensorFlow, Keras",26,7,"finance, stock"
Stock Predictor,Mobile App Development,Advanced,"SQL, PostgreSQL",5,9,"portfolio, web"
Stock Predictor,AI/ML,Beginner,"Ruby, Rails",25,7,"portfolio, web"
Blog Platform,Web Development,Intermediate,"Ruby, Rails",15,8,"portfolio, web"
Crypto Tracker,Mobile App Development,Advanced,"PHP, Laravel",7,1,"social, media"
